Date,Alibaba,JD.com,NetEase,Baidu,Bilibili,Li Auto,XPeng,NIO,Trip.com,Yum China,Weibo,BeiGene,Zai Lab,Autohome,New Oriental Ed.,ZTO Express,Baozun,Lufax,Tuya,Miniso,Kanzhun (BOSS),Qifu Technology,H World (Huazhu),Hutchmed,GigaCloud
2018-08-08,,,,,,,,,,,,1346.660231595306,,,,,,,,,,,,,
2018-08-09,,,,,,,,,,,,1351.6150154904171,,,,,,,,,,,,,
2018-08-10,,,,,,,,,,,,1297.3934369968629,,,,,,,,,,,,,
2018-08-13,,,,,,,,,,,,1248.2741547373735,,,,,,,,,,,,,
2018-08-14,,,,,,,,,,,,1287.334373474121,,,,,,,,,,,,,
2018-08-15,,,,,,,,,,,,1237.756423829589,,,,,,,,,,,,,
2018-08-16,,,,,,,,,,,,1233.3715468585724,,,,,,,,,,,,,
2018-08-17,,,,,,,,,,,,1234.8786996878916,,,,,,,,,,,,,
2018-08-20,,,,,,,,,,,,1258.3373018079146,,,,,,,,,,,,,
2018-08-21,,,,,,,,,,,,1282.042523475502,,,,,,,,,,,,,
2018-08-22,,,,,,,,,,,,1318.4469150754012,,,,,,,,,,,,,
2018-08-23,,,,,,,,,,,,1312.402920610657,,,,,,,,,,,,,
2018-08-24,,,,,,,,,,,,1347.244044876541,,,,,,,,,,,,,
2018-08-27,,,,,,,,,,,,1399.5229556733248,,,,,,,,,,,,,
2018-08-28,,,,,,,,,,,,1395.337704073463,,,,,,,,,,,,,
2018-08-29,,,,,,,,,,,,1404.4365068983461,,,,,,,,,,,,,
2018-08-30,,,,,,,,,,,,1394.6428825239564,,,,,,,,,,,,,
2018-08-31,,,,,,,,,,,,1393.4507334643858,,,,,,,,,,,,,
2018-09-04,,,,,,,,,,,,1377.1772136754225,,,,,,,,,,,,,
2018-09-05,,,,,,,,,,,,1328.23084133261,,,,,,,,,,,,,
2018-09-06,,,,,,,,,,,,1281.650303759583,,,,,,,,,,,,,
2018-09-07,,,,,,,,,,,,1283.438984787972,,,,,,,,,,,,,
2018-09-10,,,,,,,,,,,,1297.852808511292,,,,,,,,,,,,,
2018-09-11,,,,,,,,,,,,1309.6891528242122,,,,,,,,,,,,,
2018-09-12,,,,,,,,,,,,1288.1556712101446,,,,,,,,,,,,,
2018-09-13,,,,,,,,,,,,1285.6300005897065,,,,,,,,,,,,,
2018-09-14,,,,,,,,,,,,1268.8484005814826,,,,,,,,,,,,,
2018-09-17,,,,,,,,,,,,1255.4512023925781,,,,,,,,,,,,,
2018-09-18,,,,,,,,,,,,1261.0837162733078,,,,,,,,,,,,,
2018-09-19,,,,,,,,,,,,1282.4285666942596,,,,,,,,,,,,,
2018-09-20,,,,,,,,,,,,1278.0482129937736,,,,,,,,,,,,,
2018-09-21,,,,,,,,,,,,1285.8773797254107,,,,,,,,,,,,,
2018-09-24,,,,,,,,,,,,1296.8488335682196,,,,,,,,,,,,,
2018-09-26,,,,,,,,,,,,1343.537054260567,,,,,,,,,,,,,
2018-09-27,,,,,,,,,,,,1348.773664223998,,,,,,,,,,,,,
2018-09-28,,,,,,,,,,,,1345.9785660589114,,,,,,,,,,,,,
