Date,ICBC,China Construction Bank,Bank of China,Bank of Communications,China Merchants Bank,CITIC Bank,Minsheng Bank,Ping An,China Life,China Pacific Insurance,New China Life,CITIC Securities,Huatai Securities,Sinopec,PetroChina,CNOOC,China Shenhua,China Coal Energy,Yanzhou Coal,Huaneng Power,Zijin Mining,Chalco,Jiangxi Copper,Anhui Conch Cement,Angang Steel,Maanshan Iron,Shanghai Petrochemical,CRRC,China Railway Group,China Comm. Construction,Weichai Power,Guangshen Railway,BYD,Great Wall Motor,Guangzhou Automobile,Air China,China Southern Airlines,China Eastern Airlines,ZTE,Tsingtao Brewery,Chenming Paper,Shandong Xinhua Pharma,Guangdong Kelon,Anhui Expressway,China Shipping Dev,Huadian Power,Guangzhou Pharmaceutical,Jiangsu Expressway,Shenzhen Expressway,Guangzhou Shipyard,Nanjing Panda,Beiren Printing,Yizheng Chemical,Tianjin Capital Env.,Dongfang Electric,Luoyang Glass,Chongqing Iron & Steel,China Railway Const.,Beijing North Star,China Oilfield Services,COSCO Shipping,China Shipping Container,Datang Power
2014-01-02,4.592919337548805,5.272876953305883,3.3484690627524816,4.900824563332187,13.765928335107274,4.95214204998336,6.88688366707649,26.49267725965196,19.19275836011937,23.259671930111917,29.007237776075584,15.228308472674307,,5.721905267379991,9.840137547529102,,20.052327179155554,6.055468930612611,5.690982392105886,6.478839113113827,2.9892463503179263,4.310672855091009,18.230554567780842,21.142824076369315,3.148133207516852,2.1553364275455045,3.9129620276680743,6.414691948923514,3.425445598605588,5.157412302464397,6.010566282731009,3.540909943570726,16.2377224440635,18.45720649461384,7.312748577071728,5.04194795749926,3.5024218285823467,3.5280805719079327,14.753791482524083,61.33728617745441,3.994214408989416,4.875165820006601,14.7281321274458,4.990630470848087,6.145274838128511,3.8488151693541086,36.384133517337624,7.171625794657352,4.336331904292943,22.156346578864408,11.815862618857329,10.763853530755599,3.669203660198657,10.520094551533486,15.946924576545582,6.145274838128511,3.156028487810585,5.965663634849408,3.4767630852567604,26.94170618547876,3.2566890292868007,3.194516602798964,5.3626822490690875
2014-01-03,4.56936687859172,5.223967494148856,3.2858368358850067,4.864578812895656,13.489901042624265,4.877414101082027,6.783099263554923,25.856713297880155,18.701032330534524,22.756987069636594,28.32750765083487,14.79968982716385,,5.621861733943759,9.806169354909537,,19.72785660951382,5.99408539736592,5.719936029289758,6.391979637160823,2.9521190370219577,4.3383316912370455,18.431490972603328,20.189926984223167,3.1298380352733575,2.1563304044234477,3.760743110815543,6.314967908042599,3.3628485650032314,5.082779018081369,5.8817763962221195,3.4141900237661233,16.4334629148379,18.089216620966774,7.187768116750629,4.980096712590402,3.4655311765116066,3.4655311765116066,15.049390240364064,61.08319492826361,3.9190446924300404,4.8872871407491205,14.06748931702836,4.92875525382751,5.955579226789399,3.8377548399337678,35.78481651348188,7.097921405463442,4.312660808846895,22.153728830894575,11.372075737716408,10.576287258126602,3.6323899229344265,10.486440546839415,15.479372853633597,6.058261532280365,3.1318133776485575,5.80155576855295,3.439860600138865,26.38937699257102,3.189078109380369,3.1318133776485575,5.198296917776115
2014-01-06,4.556227930021395,5.2364534807234495,3.2471145598405324,4.812916892134646,13.424829566753761,4.800082459328834,6.586565554980174,25.854990132061587,18.969309434816694,22.126582965016542,27.92775271318377,14.798703533223787,,5.749831404949951,9.972363776023224,,19.046316643645593,5.788335009364402,5.4957749351579075,6.1220302623155085,2.913419000892411,4.19686350546165,17.801375131496776,19.431350239813977,3.0407752645886577,2.1048489691337307,3.683485581235148,6.070692531092261,3.221445694228909,4.954095652998576,5.68245025022317,3.2471145598405324,16.256962908551653,17.531851736577714,7.324799877832437,4.902757921775328,3.3626244550928384,3.336955589481215,14.577789600141028,59.936859342573904,3.816107747564855,4.97581562712988,13.566008021620675,4.748744728105587,5.659990069312253,3.709154752843787,34.39631174326515,6.969103439493116,4.209697938267461,21.78005236126858,10.793768087589209,10.126376969692966,3.4396313579247244,10.010867380437675,14.964962727439236,5.9166793374225195,3.041763328950529,5.5316457412541356,3.3754591938956655,26.156597926011596,3.0802669333649795,2.9647567321156583,5.056771421442085
2014-01-07,4.555387764064438,5.145663724481205,3.2336837275350176,4.837693525159157,13.499347044210689,4.786365260585679,6.514060719713322,25.721901212601686,18.914483239880884,21.99418156181429,27.85844099032419,14.56611048160948,,5.646114610013206,9.932028373185705,,19.017139769027843,5.7872676435308605,5.317085908038024,6.056740726601031,2.9128817680101897,4.183257539966132,17.849420832159446,19.350774100636627,3.05995658757727,2.1044608361264356,3.682806348493541,5.979748329740814,3.195187529104909,4.991678624820181,5.694234781565695,3.2721799259651263,16.459278191710286,17.323305814340706,7.140133870680055,4.889021789732635,3.336340256681974,3.3491723228253436,14.297073669819866,59.68199439617723,3.8154040593677703,4.9650263044295135,13.76881951539968,4.735036996012201,5.658946370215986,3.6956387205775,34.762100529912324,6.980650712685996,4.273082002969718,22.49463428298983,10.701953565550236,9.970524877556404,3.4005008933394114,9.957693117353623,15.013531461009473,5.954084197454075,3.0155382971571463,5.466465684006033,3.374836761052672,27.370823088757327,3.109310005645838,2.9770420987270376,5.145663724481205
2014-01-08,4.582088770739239,5.108323175337799,3.2215806683252093,4.87729339941528,13.643586853821915,4.8002835761110525,6.533362019944601,26.074268225577658,18.85458918154568,22.08900420840192,28.147117652570547,14.617810784016774,,5.634557273926522,9.805926681033379,,18.687735482416027,5.737237038332159,5.2327235179016265,6.1094521023321,2.87503615744635,4.132864495454743,17.84062559001051,19.393658556694945,3.0112833648004877,2.079267218278076,3.632300031957592,5.8527520792983365,3.1317358744702775,4.9671381932702126,5.701941251830016,3.2857555210787326,16.91650771035978,17.451297843962635,7.022568316359509,4.87729339941528,3.3370954032815505,3.3370954032815505,14.343093513859905,59.69550280708764,3.739257813870294,4.995769391554445,13.78477122386983,4.659098900053302,5.621722609385654,3.6836399141604104,35.11651369982936,7.0335705940025015,4.197039348208266,22.52539381914555,10.550356197013588,9.947111663100966,3.426940503146319,9.882936504337607,14.696055050999364,6.006771725906791,3.029055804054805,5.40352780401384,3.3114254621801416,26.979134414426923,3.070521972889742,2.9135410690984638,5.095488204787094
2014-01-09,4.531053908949445,5.070159575486182,3.208961717898794,4.864785915369701,13.734355907782488,4.774935072957057,6.515973751715983,25.65244075632088,18.368097411866266,21.872284244355058,27.8281164093373,14.304152754812069,,5.647772745914052,9.742407971400219,,18.534962343969863,5.686279943774748,5.068512825703237,6.097027264007709,2.8367222075874037,4.030456052334277,17.405408896496628,19.34362084377497,2.9423700351414412,2.0665713646886497,3.9791124077823294,5.917325579182421,3.131946710116528,4.92896508852159,5.612473971157685,3.3116483949418156,16.498342025161524,16.900530898185814,6.839671938189498,4.813442576848191,3.3116483949418156,3.3116483949418156,14.354755499675388,58.32608642179316,3.662494541505472,4.788757855747629,13.811371527625628,4.60806891673171,5.609264935992482,3.6453804013620723,34.207531423152446,7.059715779377346,4.210157737159565,21.743925285990407,10.050468002529282,10.153154679572305,3.722395715174776,9.999124664007772,14.414655449222943,6.0071761155646275,2.990752223151936,5.442398779767135,3.28597672568106,28.354385935213223,3.041107389391505,2.862393876848159,4.967472592412723
2014-01-10,4.52782482152925,5.079372977705571,3.193848141689876,4.874145678571689,13.852835504946954,4.758705494828323,6.538053202955785,25.377624399185446,18.342180265228414,21.869521353628766,27.833938492344554,13.931166278361736,,5.66940119512968,9.658504853377547,,18.5858870139854,5.7078809505651265,5.091211890921806,6.233776038388598,2.821873910482244,4.091717154908637,17.341698061161228,19.522236700076636,2.8909404047925227,2.0394452339130202,3.8223564203617744,5.7976680659556425,3.052754583781318,4.925452426902074,5.512274201914791,3.2195015158550686,15.823870670742929,16.995376592494104,6.697368589293795,4.797185556076112,3.2964616383506455,3.2066748287724725,14.002479270140215,57.63036041413867,3.617129121227893,4.568277678198678,13.763047777931753,4.591958256942231,5.38721346768788,3.6812625566408737,33.99075318498821,6.990550882074116,4.130197216156425,20.484239148708376,9.966345343359857,9.761118350038318,3.501688937484527,9.530237370926901,14.417209736581187,5.964415303841736,2.9373140942256097,5.284599971027109,3.2066748287724725,28.128951989431926,3.009339934574519,2.821873910482244,4.886972365654286
2014-01-13,4.5429023395088715,5.146056389131321,3.233930489344076,4.902227915439998,13.962366809709735,4.825229643304171,6.505646912821898,25.31320659474983,18.18444270935539,21.829031262018415,27.706571542404024,13.817082894471689,,5.749209826825898,9.688958728640191,,18.684932396130073,5.749209826825898,5.126640835662235,6.262532252992614,2.874604913412949,4.491570158084987,17.61978748983692,19.634578364399808,2.882501230666052,2.040456200364988,3.6830873827670003,5.787709268857747,3.0542678543604804,4.940727051507912,5.518215010418419,3.2082643986321333,16.19103993775519,16.661585546068668,6.554024706482454,4.786730507236258,3.2980957161239313,3.221097443988105,13.324991305804696,57.094275392043556,3.584700395740619,4.619900611644698,12.602062166193182,4.69689918974446,5.364217854218894,3.6702543374110292,33.90493826265285,6.9683500535349605,4.13224458215386,20.13506682731874,10.048283998607383,9.380965028169014,3.439259521003549,9.175636302473476,14.219027716829157,5.77487591753784,2.9259370948368333,5.325719024114916,3.1954313532761622,26.448932485590984,3.010831684225763,2.8361057773450358,4.9278940061519405
2014-01-14,4.523905799257663,5.140802072466951,3.225853288216385,4.870909914635927,13.815905569754932,4.793797957088687,6.542026888342007,25.697585438327373,18.301255083823293,22.131152039493063,28.184447754512135,14.031352563653858,,5.899070574261863,9.793227800970016,,18.802483727127402,5.783402331525321,5.11443868007152,6.284630361998066,2.8659971799135797,4.279717627275719,17.607246853066762,19.779236415055177,2.9263025437522616,2.056320859628349,3.855601554350214,5.873366588412782,3.0844813660464436,4.973725858032249,5.683799462964055,3.225853288216385,16.35631831608213,16.57908619344083,6.793202563522368,4.819501942937767,3.3286692316127056,3.251557274065465,13.344665216357098,56.6259365931778,3.632832757744474,4.715696276890556,13.597421383622068,4.755241978315066,5.474954501336358,3.714229632180272,34.05781373009356,6.940082920396657,4.202605669728478,20.97447206345309,11.065576019746532,9.523335643138992,3.5600054106701093,9.317703756346349,14.368542184757201,5.886218274921641,2.9431091374608207,5.359286258599815,3.2644092669900053,27.181990467903915,3.035049775493248,2.87884917283812,4.99943015029701
2014-01-15,4.448422312735446,5.1041145994576835,3.2270346356765627,4.834123603773016,13.615257933891005,4.679843209969146,6.499781163220627,25.53343030982786,18.33367124231112,21.997834580015663,28.00191906291294,13.891034950114344,,5.978371083929964,9.745387404447968,,18.680801821841932,5.74694988016837,5.00422696749669,6.132651477733835,2.8541900441226487,4.165574617567123,17.279420045483974,20.570738791634604,2.927374192016738,2.05707390981625,3.8827269223988,5.798377291158783,3.0856109413563484,4.9369771996422624,5.676238186272211,3.2141779361929066,16.713725268203117,15.985178351073495,6.768139591338598,4.82126690428936,3.3298882315458096,3.2270346356765627,13.242413342337091,56.54381766497206,3.591307787713478,4.707533713856696,13.653827725814079,4.744126707387426,5.374105288614456,3.6898761236160675,33.90314994994097,6.852627261874351,4.217001415501747,21.097863776992387,11.2110529847521,9.423969610828676,3.6127359267141324,9.423969610828676,14.502370504791154,5.991227476885726,2.9570436399918956,5.348391889647145,3.2527480346438744,28.349048416332174,3.0361612483419638,2.8670467436063043,5.001261003588437
